,episode_length,velocity_step_mean,success,episode_reward,episode_cost,crash,crash_vehicle,out_of_road,crash_object,crash_building,crash_sidewalk,first_crash_step,first_crash_vehicle_step,first_out_of_road_step,crash_vehicle_steps,out_of_road_steps,route_completion,episode,ckpt_index,env_id,num_ep_in_one_env
15,414,13.272786293890531,True,568.4259059127531,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9920017358686358,16,6400,1015,1
16,248,12.02025619981816,True,309.530436787603,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9892394318240305,17,6400,1016,1
17,259,12.780898227673072,True,344.4087198720811,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9847883154560491,18,6400,1017,1
18,336,12.581603044054939,True,439.49441958757706,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9885490537383249,19,6400,1018,1
19,239,12.033414009752075,True,299.42647076378097,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9886111491779667,20,6400,1019,1
20,220,10.817751605914278,True,248.05552147304596,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9786071008523002,21,6400,1020,1
21,271,13.793935976827061,True,386.06583067323777,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9844118203659917,22,6400,1021,1
22,277,14.530911649737721,True,418.4843578014363,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9898371675565882,23,6400,1022,1
23,122,10.973017232487155,False,138.59242215670366,1.0,False,False,True,False,False,False,-1,-1,122,0,1,0.4514386521408122,24,6400,1023,1
24,263,15.168436371343105,False,414.4585782475296,1.0,True,True,False,False,False,False,263,263,-1,1,0,0.8119174873103738,25,6400,1024,1
25,206,11.869433387443612,True,255.0465565523972,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9833763849433212,26,6400,1025,1
26,375,12.600218662512173,True,487.8124492122065,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9880215235611304,27,6400,1026,1
27,268,12.346384770130815,True,343.75189544758854,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.986020894117427,28,6400,1027,1
28,196,11.480903115069276,True,234.0284766832177,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9803317403887889,29,6400,1028,1
29,208,12.535242717458889,True,271.730092667125,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9827732434322806,30,6400,1029,1
30,265,11.286889008261484,True,312.92741505446355,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9871617187652225,31,6400,1030,1
31,218,13.001750998364898,False,291.47491229770935,1.0,True,True,False,False,False,False,218,218,-1,1,0,0.6396115453092824,32,6400,1031,1
32,136,11.432937814683282,False,160.357089326361,1.0,False,False,True,False,False,False,-1,-1,136,0,1,0.5495462780308397,33,6400,1032,1
33,183,13.574567163349695,False,256.56293446372047,1.0,False,False,True,False,False,False,-1,-1,183,0,1,0.6927136695986829,34,6400,1033,1
34,178,10.260700114363853,False,186.05762410604098,1.0,False,False,True,False,False,False,-1,-1,178,0,1,0.3396529003989254,35,6400,1034,1
35,275,13.408006705978716,True,382.6949139119038,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9878078242694494,36,6400,1035,1
36,176,12.384625725953521,False,225.72856709432114,1.0,True,True,False,False,False,False,176,176,-1,1,0,0.7963947189128414,37,6400,1036,1
37,255,13.130122770961465,True,347.68205607318134,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9853669425604482,38,6400,1037,1
38,202,13.03028169626613,False,270.2147848551275,1.0,False,False,True,False,False,False,-1,-1,202,0,1,0.6543062929993909,39,6400,1038,1
39,242,12.417286506024013,True,311.72285347817854,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9832190908738849,40,6400,1039,1
40,154,10.468915383950472,False,166.77012506884444,1.0,False,False,True,False,False,False,-1,-1,154,0,1,0.4852171322677724,41,6400,1040,1
41,151,13.543249164523388,False,209.55507302331844,1.0,False,False,True,False,False,False,-1,-1,151,0,1,0.6847236707604489,42,6400,1041,1
42,213,13.17349992563668,True,293.37294522879233,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9864356289296576,43,6400,1042,1
43,154,11.635608232962273,False,184.5593226064061,1.0,True,True,False,False,False,False,154,154,-1,1,0,0.4034048705857704,44,6400,1043,1
44,224,12.390394310220826,True,287.83518384233946,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9831434200007118,45,6400,1044,1
45,104,11.4410268643783,False,122.30933575327697,1.0,True,True,False,False,False,False,104,104,-1,1,0,0.2960650680103678,46,6400,1045,1
46,226,13.877142875408522,False,324.9833363959809,1.0,True,True,False,False,False,False,226,226,-1,1,0,0.6055680608476751,47,6400,1046,1
47,191,11.44118234075237,True,226.57783167990127,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9773704260437321,48,6400,1047,1
48,172,10.529456492831946,False,188.18183097128622,1.0,True,True,False,False,False,False,172,172,-1,1,0,0.4746506638070691,49,6400,1048,1
49,257,12.973620552400963,True,344.85027335617036,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9858090141767548,50,6400,1049,1
0,157,12.794385268315049,False,206.7658811677149,1.0,False,False,True,False,False,False,-1,-1,157,0,1,0.6632782872540073,1,6600,1000,1
1,164,9.845595663507352,False,168.16121672321393,1.0,True,False,True,False,False,True,164,-1,164,0,1,0.5623191804828837,2,6600,1001,1
2,214,13.27921854598689,False,295.3968787090505,1.0,True,True,False,False,False,False,214,214,-1,1,0,0.7444727750213594,3,6600,1002,1
3,193,13.107926850301483,False,261.90169866469665,1.0,False,False,True,False,False,False,-1,-1,193,0,1,0.6139450888149184,4,6600,1003,1
4,196,14.373086132033784,False,291.6573818010017,1.0,True,True,False,False,False,False,196,196,-1,1,0,0.5911173391660858,5,6600,1004,1
5,271,10.190835197162011,False,288.1115833424246,1.0,True,True,False,False,False,False,271,271,-1,1,0,0.7653132511461385,6,6600,1005,1
6,235,12.656684317991546,False,306.5014384955514,1.0,True,True,False,False,False,False,235,235,-1,1,0,0.7019930107559783,7,6600,1006,1
7,301,12.678777601866269,False,396.367107351005,1.0,True,False,True,False,False,True,301,-1,301,0,1,0.9077710615432929,8,6600,1007,1
8,178,14.284161094978543,False,263.7786720109144,1.0,True,True,False,False,False,False,178,178,-1,1,0,0.7207516190844391,9,6600,1008,1
9,276,12.466019104646298,True,356.32323069328015,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9858077332409462,10,6600,1009,1
